date,household_id,has_senior,children
2025-01-01,1003,0,2
2025-01-01,1006,1,0
2025-01-01,1008,1,3
2025-01-01,1011,0,1
2025-01-01,1014,0,0
2025-01-01,1017,0,1
2025-01-01,1019,0,3
2025-01-01,1021,0,0
2025-01-01,1023,0,0
2025-01-01,1025,1,1
2025-01-01,1026,0,0
2025-01-01,1028,1,2
2025-01-01,1030,1,0
2025-01-01,1033,1,1
2025-01-01,1034,1,0
2025-01-01,1036,0,3
2025-01-01,1037,0,0
2025-01-01,1039,1,0
2025-01-01,1040,0,2
2025-01-01,1043,0,3
2025-01-01,1045,1,0
2025-01-01,1048,0,1
2025-01-01,1050,0,1
2025-01-01,1051,0,0
2025-01-01,1052,1,2
2025-01-01,1053,0,2
2025-01-01,1056,0,0
2025-01-01,1057,0,2
2025-01-01,1058,0,0
2025-01-01,1059,0,0
2025-01-01,1061,0,0
2025-01-01,1062,0,0
2025-01-01,1063,0,2
2025-01-01,1064,0,0
2025-01-01,1066,1,0
2025-01-01,1068,1,3
2025-01-01,1069,0,1
2025-01-01,1072,0,1
2025-01-01,1074,0,0
2025-01-01,1076,1,3
2025-01-01,1077,0,0
2025-01-01,1079,0,0
2025-01-02,1082,1,2
2025-01-02,1083,0,1
2025-01-02,1084,0,1
2025-01-02,1086,1,3
2025-01-02,1087,0,1
2025-01-02,1090,1,3
2025-01-02,1093,1,0
2025-01-02,1095,0,1
2025-01-02,1096,0,0
2025-01-02,1099,0,0
2025-01-02,1100,1,3
2025-01-02,1102,0,0
2025-01-02,1104,1,0
2025-01-02,1106,0,0
2025-01-02,1107,0,2
2025-01-02,1110,0,1
2025-01-02,1112,0,3
2025-01-02,1114,0,0
2025-01-02,1115,0,0
2025-01-02,1118,0,2
2025-01-02,1121,0,1
2025-01-02,1124,0,0
2025-01-02,1126,0,2
2025-01-02,1129,0,1
2025-01-02,1130,0,2
2025-01-02,1133,0,1
2025-01-02,1135,0,0
2025-01-02,1137,1,0
2025-01-02,1138,0,1
2025-01-02,1141,1,0
2025-01-02,1144,0,2
2025-01-02,1145,1,1
2025-01-02,1146,1,0
2025-01-02,1147,0,1
2025-01-02,1150,1,1
2025-01-02,1153,0,3
2025-01-02,1155,1,1
2025-01-02,1157,0,3
2025-01-02,1159,0,0
2025-01-02,1161,0,2
2025-01-02,1164,0,3
2025-01-03,1166,0,1
2025-01-03,1169,0,0
2025-01-03,1171,1,2
2025-01-03,1174,0,3
2025-01-03,1177,0,2
2025-01-03,1178,0,0
2025-01-03,1181,1,1
2025-01-03,1183,1,1
2025-01-03,1184,0,0
2025-01-03,1186,0,0
2025-01-03,1189,1,0
2025-01-03,1191,0,0
2025-01-03,1194,0,0
2025-01-03,1195,0,0
2025-01-03,1197,1,0
2025-01-03,1199,0,3
2025-01-03,1201,1,0
2025-01-03,1203,1,2
2025-01-03,1206,0,0
2025-01-03,1209,1,0
2025-01-03,1212,0,1
2025-01-03,1213,0,3
2025-01-03,1216,0,1
2025-01-03,1217,0,3
2025-01-03,1218,0,1
2025-01-03,1219,1,1
2025-01-03,1221,0,2
2025-01-03,1224,0,0
2025-01-03,1227,0,2
2025-01-03,1230,0,2
2025-01-03,1233,1,2
2025-01-03,1236,1,1
2025-01-03,1237,1,0
2025-01-03,1238,0,2
2025-01-03,1239,1,1
2025-01-03,1242,1,0
2025-01-03,1245,0,2
2025-01-03,1247,0,0
2025-01-03,1249,0,2
2025-01-03,1251,0,1
2025-01-03,1252,0,1
2025-01-03,1253,1,0
2025-01-03,1255,0,0
2025-01-03,1258,1,0
2025-01-03,1259,0,0
2025-01-03,1262,1,1
2025-01-03,1265,0,0
2025-01-03,1266,0,2
2025-01-03,1269,1,0
2025-01-03,1271,0,2
2025-01-03,1273,0,1
2025-01-03,1275,0,0
2025-01-03,1278,1,1
2025-01-03,1280,1,0
2025-01-03,1282,0,2
2025-01-03,1284,0,0
2025-01-03,1286,0,0
2025-01-03,1288,0,0
2025-01-03,1290,1,0
2025-01-03,1292,0,0
2025-01-03,1295,0,1
2025-01-04,1298,1,0
2025-01-04,1301,0,0
2025-01-04,1302,1,0
2025-01-04,1305,1,0
2025-01-04,1307,1,2
2025-01-04,1308,0,0
2025-01-04,1309,0,0
2025-01-04,1310,0,0
2025-01-04,1313,0,0
2025-01-04,1316,1,0
2025-01-04,1318,1,2
2025-01-04,1320,0,2
2025-01-04,1323,0,0
2025-01-04,1325,0,0
2025-01-04,1327,0,2
2025-01-04,1330,1,3
2025-01-04,1331,0,3
2025-01-04,1333,0,0
2025-01-04,1336,1,0
2025-01-04,1338,1,0
2025-01-04,1341,0,0
2025-01-04,1344,0,0
2025-01-04,1347,0,3
2025-01-04,1349,0,0
2025-01-04,1350,0,1
2025-01-04,1352,0,1
2025-01-04,1354,0,0
2025-01-04,1355,1,0
2025-01-04,1357,0,0
2025-01-04,1360,0,2
2025-01-04,1362,0,3
2025-01-04,1363,0,1
2025-01-04,1366,0,0
2025-01-04,1367,0,1
2025-01-04,1370,1,1
2025-01-04,1371,0,0
2025-01-04,1373,0,1
2025-01-04,1376,0,0
2025-01-04,1378,0,2
2025-01-04,1381,0,1
2025-01-04,1382,1,2
2025-01-04,1383,0,1
2025-01-04,1384,0,2
2025-01-04,1387,1,1
2025-01-04,1390,0,0
2025-01-04,1393,0,1
2025-01-04,1394,0,1
2025-01-04,1396,0,0
2025-01-04,1397,1,2
2025-01-04,1399,0,0
2025-01-05,1402,1,1
2025-01-05,1405,0,1
2025-01-05,1407,0,0
2025-01-05,1408,0,0
2025-01-05,1410,0,0
2025-01-05,1412,1,0
2025-01-05,1414,1,3
2025-01-05,1416,0,2
2025-01-05,1418,1,1
2025-01-05,1421,0,1
2025-01-05,1423,0,0
2025-01-05,1425,0,3
2025-01-05,1427,1,1
2025-01-05,1430,0,2
2025-01-05,1432,0,2
2025-01-05,1433,1,0
2025-01-05,1434,1,1
2025-01-05,1437,0,1
2025-01-05,1440,0,0
2025-01-05,1442,0,0
2025-01-05,1445,0,3
2025-01-05,1446,1,2
2025-01-05,1447,0,3
2025-01-05,1450,0,3
2025-01-05,1452,0,1
2025-01-05,1453,0,2
2025-01-05,1454,0,1
2025-01-05,1457,0,0
2025-01-05,1458,0,0
2025-01-05,1460,1,2
2025-01-05,1463,0,1
2025-01-05,1465,1,0
2025-01-05,1468,0,0
2025-01-05,1469,0,3
2025-01-05,1472,1,0
2025-01-05,1475,1,0
2025-01-05,1476,0,2
2025-01-05,1477,0,1
2025-01-05,1480,0,1
2025-01-05,1481,0,3
2025-01-05,1482,1,0
2025-01-05,1484,0,3
2025-01-05,1487,0,1
2025-01-05,1489,1,0
2025-01-05,1490,0,0
2025-01-05,1492,1,2
2025-01-06,1495,1,0
2025-01-06,1498,0,1
2025-01-06,1499,0,3
2025-01-06,1501,0,1
2025-01-06,1504,1,1
2025-01-06,1506,1,1
2025-01-06,1508,0,1
2025-01-06,1509,0,1
2025-01-06,1512,0,1
2025-01-06,1513,0,0
